free_bikes,bike_station,empty_slots,latitude,longitude,rating
4,43,7,42.012342,-87.688243,2.0
4,43,7,42.012342,-87.688243,5.0
4,43,7,42.012342,-87.688243,3.5
4,43,7,42.012342,-87.688243,4.0
4,43,7,42.012342,-87.688243,2.5
4,43,7,42.012342,-87.688243,0.0
2,44,13,42.018901,-87.690048,3.5
2,44,13,42.018901,-87.690048,4.0
2,44,13,42.018901,-87.690048,3.0
2,44,13,42.018901,-87.690048,0.0
12,45,7,42.015962,-87.66857,4.0
12,45,7,42.015962,-87.66857,3.5
12,45,7,42.015962,-87.66857,4.5
12,45,7,42.015962,-87.66857,5.0
5,46,6,42.019537,-87.669563,4.0
5,46,6,42.019537,-87.669563,4.5
5,46,6,42.019537,-87.669563,5.0
5,46,6,42.019537,-87.669563,3.5
5,46,6,42.019537,-87.669563,2.5
1,47,14,42.039742,-87.699413,4.0
1,47,14,42.039742,-87.699413,3.5
1,47,14,42.039742,-87.699413,3.0
1,47,14,42.039742,-87.699413,2.0
1,47,14,42.039742,-87.699413,4.5
1,47,14,42.039742,-87.699413,0.0
5,48,6,41.885409,-87.726491,3.5
5,48,6,41.885409,-87.726491,5.0
5,48,6,41.885409,-87.726491,0.0
5,48,6,41.885409,-87.726491,4.0
5,48,6,41.885409,-87.726491,2.0
2,49,9,41.886841,-87.745261,0.0
2,49,9,41.886841,-87.745261,2.5
2,49,9,41.886841,-87.745261,5.0
2,49,9,41.886841,-87.745261,4.0
2,50,13,42.00445062934,-87.6724024047,2.0
2,50,13,42.00445062934,-87.6724024047,4.5
2,50,13,42.00445062934,-87.6724024047,4.0
2,50,13,42.00445062934,-87.6724024047,0.0
6,51,5,42.00454962194,-87.6806661451,4.5
6,51,5,42.00454962194,-87.6806661451,2.0
6,51,5,42.00454962194,-87.6806661451,4.0
6,51,5,42.00454962194,-87.6806661451,0.0
3,52,8,41.84910969176,-87.6951398068,3.5
3,52,8,41.84910969176,-87.6951398068,1.5
3,52,8,41.84910969176,-87.6951398068,2.0
3,52,8,41.84910969176,-87.6951398068,0.0
3,52,8,41.84910969176,-87.6951398068,5.0
3,52,8,41.84910969176,-87.6951398068,4.0
3,52,8,41.84910969176,-87.6951398068,4.5
7,53,4,41.8481,-87.715068,4.0
7,53,4,41.8481,-87.715068,4.5
7,53,4,41.8481,-87.715068,0.0
7,53,4,41.8481,-87.715068,2.0
6,54,9,42.00797192287,-87.6655023944,4.5
6,54,9,42.00797192287,-87.6655023944,3.5
6,54,9,42.00797192287,-87.6655023944,4.0
6,54,9,42.00797192287,-87.6655023944,3.0
6,54,9,42.00797192287,-87.6655023944,0.0
4,55,7,41.84151770807,-87.6851314409,0.0
4,55,7,41.84151770807,-87.6851314409,5.0
4,55,7,41.84151770807,-87.6851314409,2.0
4,55,7,41.84151770807,-87.6851314409,2.5
4,55,7,41.84151770807,-87.6851314409,4.0
4,55,7,41.84151770807,-87.6851314409,3.5
4,55,7,41.84151770807,-87.6851314409,4.5
2,56,9,41.84447501366,-87.7020130128,4.0
2,56,9,41.84447501366,-87.7020130128,3.5
2,56,9,41.84447501366,-87.7020130128,3.0
2,56,9,41.84447501366,-87.7020130128,2.0
2,56,9,41.84447501366,-87.7020130128,2.5
2,56,9,41.84447501366,-87.7020130128,4.5
0,57,19,41.87184,-87.64664,4.0
0,57,19,41.87184,-87.64664,1.0
0,57,19,41.87184,-87.64664,1.5
0,57,19,41.87184,-87.64664,2.5
0,57,19,41.87184,-87.64664,0.0
0,57,19,41.87184,-87.64664,3.5
2,58,14,41.874754,-87.649807,0.0
2,58,14,41.874754,-87.649807,3.0
